likesCount,tweetUrl,action,profileUrl,handle,description,name,rtCount
3,https://twitter.com/postimees/status/1276396380681129984,liked,https://www.twitter.com/@cell_thinker,@cell_thinker,"The name says it all....or does it?
Beginner animator, Film fan, 
               Youtube channel: https://t.co/sKwm9jm3zA…",ThinkerCell,
1,https://twitter.com/postimees/status/1276358834613870592,liked,https://www.twitter.com/@PPildid,@PPildid,"Kui Sina ei tegele poliitikaga, tegeleb poliitika Sinuga",Poliitilised Pildid,
1,https://twitter.com/postimees/status/1276353489501855744,liked,https://www.twitter.com/@DEBrozina,@DEBrozina,"#Cinematographer, #producer, and #director. Help companies with #contentstrategy and #story consulting. Unskilled #surfer and good #cook the rest of the time.",Deborah Brozina,
1,https://twitter.com/postimees/status/1276180545878339585,liked,https://www.twitter.com/@AveKarja,@AveKarja,,Ave Karja,
2,https://twitter.com/postimees/status/1276093748854865925,liked,https://www.twitter.com/@Liia64241960,@Liia64241960,wierd,Liia,
1,https://twitter.com/postimees/status/1276087893761630214,liked,https://www.twitter.com/@LV_Estonia,@LV_Estonia,Embassy of Latvia in Estonia. RT not endorsement,Latvia in Estonia,
,https://twitter.com/postimees/status/1276087893761630214,RT,https://www.twitter.com/@LV_Estonia,@LV_Estonia,Embassy of Latvia in Estonia. RT not endorsement,Latvia in Estonia,1
2,https://twitter.com/postimees/status/1276068299202322432,liked,https://www.twitter.com/@FedynaViktor,@FedynaViktor,digitally growing dentist,Viktor Fedyna,
2,https://twitter.com/postimees/status/1276068299202322432,liked,https://www.twitter.com/@haluuksturpaan,@haluuksturpaan,"Suorasanainen, härski, vähän likainen ja muiden mielestä mielenvikainen.",Eetu,
,https://twitter.com/postimees/status/1276041364581617664,RT,https://www.twitter.com/@IwuJuha,@IwuJuha,,juha j h lähteenmäki,1
1,https://twitter.com/postimees/status/1276001087435177984,liked,https://www.twitter.com/@mtamm85,@mtamm85,,Marten Tamm,
1,https://twitter.com/postimees/status/1275851840572268545,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
1,https://twitter.com/postimees/status/1275826868172849153,liked,https://www.twitter.com/@AveKarja,@AveKarja,,Ave Karja,
1,https://twitter.com/postimees/status/1275819690753957889,liked,https://www.twitter.com/@chernobylworke1,@chernobylworke1,"The only month  i can say this, I Am Bi",chernobylworker,
